City,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,35,7,12,0.2,5,77,69,7
阿克苏地区,73,7,9,0.6,0,137,126,5
阿拉善盟,77,18,31,0.5,6,146,131,8
阿勒泰地区,61,10,0,0.35,14,119,111,6
阿里地区,58,4,14,0.4,4,119,108,4
安康,43,23,42,0.47,12,104,76,8
安庆,66,18,37,0.5,14,140,118,8
鞍山,56,10,18,0.61,17,119,105,8
安顺,40,12,16,0.45,7,87,78,5
安阳,120,14,64,0.43,11,199,180,8
白城,77,17,26,0.45,9,134,131,5
百色,55,28,48,0.55,13,104,104,7
白山,47,9,11,0.5,7,82,92,6
白银,51,15,43,0.35,32,59,100,21
保定,73,10,23,0.18,14,134,126,5
宝鸡,76,24,50,0.57,13,154,129,5
保山,27,5,16,0.6,16,42,52,4
包头,100,20,35,0.98,22,187,159,31
巴彦淖尔,76,7,17,0.57,11,150,129,6
巴中,37,14,25,0.53,7,88,73,2
北海,34,8,33,0.5,6,65,65,5
北京,49,7,16,0.27,11,101,96,2
蚌埠,120,27,65,0.55,15,155,180,10
本溪,51,12,25,0.65,17,82,100,9
毕节,44,10,17,0.55,12,76,86,4
滨州,100,18,40,0.73,18,140,159,9
博州,61,7,17,0.3,8,127,111,6
亳州,172,43,129,1.2,16,233,236,0
沧州,68,9,28,0.3,15,131,120,10
长春,43,13,26,0.63,27,73,85,3
常德,54,15,28,0.75,7,102,103,5
昌都,57,3,14,0.4,11,121,107,7
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,50,12,32,0.3,16,88,98,6
长沙,47,7,19,0.58,12,101,92,4
常熟,131,23,38,0.63,25,181,193,13
长治,132,12,34,0.8,11,203,194,12
常州,76,38,54,0.85,31,149,130,10
朝阳,51,10,17,0.65,12,92,100,7
潮州,32,7,19,0.77,7,43,62,7
承德,51,8,14,0.32,9,102,100,6
成都,84,23,41,0.61,19,157,139,5
郴州,25,11,24,1.02,10,38,39,3
赤峰,45,9,27,0.3,18,88,89,7
池州,76,15,21,0.53,19,137,129,6
重庆,30,18,29,0.82,30,40,42,4
崇左,45,27,44,0.5,6,98,87,7
楚雄州,38,4,23,0.55,5,75,74,8
滁州,110,44,70,0.63,17,178,169,11
大连,61,20,35,0.46,16,109,111,5
大理州,30,8,17,0.65,8,71,58,4
丹东,43,9,16,0.63,29,82,85,8
大庆,50,12,21,0.5,18,98,99,6
大同,55,5,17,0.43,9,111,104,7
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,45,6,12,0.35,9,81,88,8
达州,91,67,116,2.06,70,33,30,16
德宏州,30,7,21,0.55,7,83,59,12
德阳,73,18,39,0.45,9,150,126,3
德州,79,1,29,0.33,10,141,133,3
定西,73,9,37,0.2,7,127,126,5
迪庆州,42,6,0,0.7,10,74,82,9
东莞,41,9,29,0.62,13,65,80,7
东营,93,14,39,0.33,7,138,150,4
鄂尔多斯,78,3,26,0.5,10,143,132,7
恩施州,47,22,46,1.05,24,78,55,4
鄂州,71,22,49,1.17,20,149,123,9
防城港,38,13,37,0.57,5,80,66,3
佛山,32,7,26,0.51,16,54,62,4
抚顺,66,10,23,0.57,15,108,117,12
阜新,66,7,18,0.38,9,113,117,4
阜阳,135,11,48,0.53,19,167,197,4
富阳,0,0,0,0.0,0,0,0,0
福州,49,19,48,0.57,24,67,68,3
抚州,39,6,14,0.74,4,63,77,5
甘南州,56,8,9,0.3,13,95,106,5
赣州,48,20,47,1.28,29,36,55,7
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,29,6,11,0.3,8,61,57,17
广安,36,10,15,0.65,8,75,71,4
广元,42,15,30,0.33,19,78,83,14
广州,39,10,25,0.47,16,67,76,4
贵港,47,15,46,0.43,11,61,58,6
桂林,27,10,0,0.8,14,57,53,6
贵阳,43,14,23,0.68,12,97,85,6
果洛州,32,8,0,0.5,17,84,62,1
固原,73,17,54,0.5,19,123,126,9
哈尔滨,51,10,29,0.58,21,92,100,8
海北州,0,0,0,0.0,0,0,0,0
海东地区,68,34,57,0.4,16,125,120,8
海口,35,11,27,0.36,12,78,68,4
海门,47,21,41,0.55,12,85,92,9
海南州,81,11,18,0.4,6,134,135,10
海西州,81,4,23,0.9,12,138,136,9
哈密地区,63,11,74,0.2,5,116,101,3
邯郸,114,16,58,0.3,10,182,174,7
杭州,75,23,42,0.64,18,134,128,4
汉中,62,38,72,0.93,13,99,86,9
鹤壁,118,12,55,0.1,12,197,178,12
河池,56,28,60,0.63,14,64,67,6
合肥,139,17,41,0.63,22,178,201,3
鹤岗,41,17,40,0.28,4,70,67,5
黑河,55,17,58,0.3,8,85,88,4
衡水,77,8,29,0.27,12,136,131,6
衡阳,35,9,27,0.65,6,73,69,6
和田地区,260,209,52,0.25,9,135,132,5
河源,40,11,39,0.6,12,77,76,5
菏泽,95,14,93,0.3,15,152,152,6
贺州,35,14,34,0.45,13,47,35,5
红河州,39,9,20,0.4,6,78,76,7
淮安,142,20,53,0.7,18,204,205,8
淮北,162,41,126,0.57,18,239,226,8
怀化,28,9,27,1.28,8,41,41,4
淮南,131,19,55,0.55,12,171,192,10
黄冈,79,16,35,0.75,9,155,133,11
黄南州,41,13,21,0.9,8,88,81,3
黄山,50,10,28,0.43,14,113,99,13
黄石,61,24,43,1.05,14,136,111,10
呼和浩特,63,7,12,0.54,9,118,114,6
惠州,34,7,31,0.46,11,52,66,4
葫芦岛,58,11,29,0.68,14,117,108,21
呼伦贝尔,64,8,29,0.25,10,102,115,2
湖州,76,55,82,0.83,43,138,123,12
佳木斯,34,19,33,0.83,32,43,64,5
吉安,30,4,15,0.65,6,66,59,4
江门,44,16,43,0.62,17,33,35,7
江阴,187,44,60,1.07,31,260,251,11
胶南,55,24,56,0.4,5,98,104,1
胶州,61,27,55,0.4,12,128,112,5
焦作,111,31,77,0.5,18,187,171,10
嘉兴,71,20,26,0.5,14,116,124,4
嘉峪关,64,15,33,0.3,6,123,115,2
揭阳,28,11,26,0.65,11,44,54,5
吉林,49,12,21,0.63,17,81,97,7
即墨,52,34,30,0.35,11,100,101,6
济南,96,14,56,0.54,16,179,153,10
金昌,75,5,23,0.4,5,145,128,17
晋城,172,26,84,0.7,15,245,236,15
景德镇,41,18,26,0.56,7,73,80,8
荆门,56,36,59,0.86,13,107,105,3
荆州,61,41,68,0.9,20,133,112,4
金华,51,21,50,0.67,18,85,86,5
济宁,107,9,53,0.47,11,152,166,8
金坛,107,29,57,1.1,16,179,166,7
晋中,87,5,12,0.33,11,151,143,5
锦州,59,18,27,0.54,14,116,109,7
九江,57,23,38,0.46,8,108,107,8
酒泉,62,16,36,0.6,20,101,113,5
鸡西,32,14,30,0.48,17,54,63,5
句容,155,35,52,0.65,11,233,219,5
开封,104,21,101,0.42,15,182,163,7
喀什地区,63,9,20,0.37,11,127,114,5
克拉玛依,62,3,39,0.38,10,114,113,4
克州,95,10,19,0.3,12,163,152,2
库尔勒,46,9,22,0.43,13,91,91,5
昆明,38,8,18,0.5,14,75,75,7
昆山,107,21,56,0.6,33,122,166,9
来宾,37,15,31,0.6,8,80,72,5
莱芜,88,65,99,0.67,18,89,77,10
莱西,84,31,41,0.5,9,153,139,6
莱州,126,25,31,0.7,13,185,187,7
廊坊,52,6,13,0.27,9,108,101,2
兰州,59,12,43,0.4,19,110,109,5
拉萨,63,6,21,0.33,8,128,114,6
乐山,58,16,30,0.48,10,131,108,5
凉山州,79,14,29,0.7,8,127,133,11
连云港,100,27,54,0.92,16,159,158,8
聊城,91,5,53,0.3,16,158,147,5
辽阳,55,12,20,0.68,34,86,104,11
辽源,57,10,20,0.7,8,118,107,5
丽江,43,8,20,0.6,9,80,84,10
临安,53,32,42,0.6,6,127,102,2
临沧,34,16,24,0.5,9,67,66,9
临汾,148,37,72,0.98,15,240,211,22
临夏州,59,5,12,0.25,6,109,109,5
临沂,164,42,113,0.75,22,229,228,10
林芝,40,7,25,0.45,6,84,78,9
林芝地区,18,4,16,0.35,6,51,35,3
丽水,32,10,16,0.47,21,53,62,5
六盘水,31,12,22,0.54,9,71,61,10
柳州,49,24,48,0.73,14,75,61,3
溧阳,122,35,46,1.15,14,190,183,5
陇南,35,13,28,0.4,12,78,69,9
龙岩,27,9,26,0.5,14,49,51,4
娄底,32,15,19,0.56,6,70,62,4
六安,62,6,34,0.68,11,115,113,5
漯河,167,31,116,0.53,16,239,231,10
洛阳,161,20,91,0.41,26,208,225,8
泸州,38,21,37,0.55,21,91,75,6
吕梁,82,7,21,0.37,9,154,137,10
马鞍山,171,36,78,1.2,19,233,235,14
茂名,33,8,18,0.48,8,59,64,3
眉山,77,14,31,0.5,11,153,131,10
梅州,31,8,12,0.57,10,78,60,5
绵阳,71,19,28,0.4,11,124,124,3
牡丹江,47,14,46,0.3,12,68,69,2
南昌,46,18,45,0.5,19,85,89,7
南充,50,31,49,0.67,31,78,82,10
南京,170,32,60,0.93,22,261,234,14
南宁,41,18,40,0.53,15,65,65,5
南平,30,5,17,0.5,9,45,58,4
南通,92,13,36,0.3,15,143,149,8
南阳,129,25,49,0.78,16,183,190,3
那曲地区,42,20,27,0.57,8,81,83,4
内江,36,20,28,0.48,17,94,71,10
宁波,48,15,25,0.48,15,93,95,4
宁德,53,24,54,0.83,26,38,44,5
怒江州,29,20,27,0.7,12,47,39,11
盘锦,69,23,18,0.6,18,117,121,9
攀枝花,48,6,17,0.46,16,84,95,7
蓬莱,0,0,0,0.0,0,0,0,0
平顶山,153,34,84,0.73,27,216,217,18
平度,96,40,40,0.6,5,161,153,4
平凉,85,9,34,0.35,16,136,140,10
萍乡,21,7,19,1.42,19,41,40,19
普洱,36,6,16,0.3,10,79,71,6
莆田,48,19,47,0.42,11,57,67,5
濮阳,95,5,77,0.55,11,143,152,4
黔东南州,19,8,12,0.55,27,35,36,7
黔南州,32,7,12,0.3,7,76,63,20
黔西南州,46,6,13,0.75,11,85,90,9
青岛,61,29,59,0.48,19,113,111,4
庆阳,81,10,41,0.5,12,135,135,6
清远,44,20,43,0.47,21,83,83,9
秦皇岛,66,15,33,0.36,15,125,118,7
钦州,41,11,40,0.63,5,65,56,6
齐齐哈尔,56,9,21,0.3,10,105,106,6
七台河,49,15,25,0.53,17,97,97,6
泉州,35,13,27,0.38,19,59,69,8
曲靖,45,4,19,0.5,9,99,88,7
衢州,31,4,23,0.5,13,72,60,2
日喀则,86,2,16,0.4,5,142,142,2
日喀则地区,29,6,27,0.35,2,68,56,5
日照,80,47,66,0.4,11,138,134,5
荣成,68,19,33,0.5,9,112,120,4
乳山,76,11,30,0.5,9,121,130,5
三门峡,120,19,57,0.5,18,160,180,4
三明,26,14,25,1.0,18,33,46,5
三沙,30,7,20,0.3,30,51,58,6
三亚,27,5,18,0.45,2,58,52,3
上海,89,19,29,0.43,19,129,145,4
商洛,111,21,40,0.65,21,152,170,9
商丘,195,146,172,1.2,35,104,115,8
上饶,35,15,29,0.4,7,66,69,2
山南,56,4,17,0.3,8,113,106,4
山南地区,40,5,21,0.45,6,65,79,4
汕头,27,14,21,0.5,7,43,53,6
汕尾,30,7,18,0.63,3,53,59,6
韶关,37,24,36,0.88,18,86,71,15
绍兴,71,29,89,0.67,17,112,102,6
邵阳,31,13,22,0.66,14,54,61,6
沈阳,71,25,31,0.69,21,118,123,10
深圳,27,13,26,0.55,12,41,47,4
石河子,51,3,7,0.3,21,90,100,10
石家庄,85,8,25,0.29,10,163,140,8
十堰,92,20,50,0.65,13,123,149,5
石嘴山,83,9,42,0.53,15,136,138,16
寿光,84,21,54,0.4,15,121,139,10
双鸭山,37,15,33,0.45,11,57,72,2
朔州,77,10,40,0.44,9,146,131,10
四平,49,15,27,0.53,21,85,97,5
松原,71,4,23,0.45,15,117,123,2
绥化,48,13,25,0.45,14,89,94,5
遂宁,36,23,35,0.5,13,90,69,9
随州,117,17,30,0.63,6,149,177,3
宿迁,123,33,78,0.9,20,208,184,10
苏州,115,29,52,0.5,25,208,175,4
宿州,132,37,108,0.77,9,247,194,7
塔城地区,49,4,22,0.1,4,97,96,1
泰安,88,3,50,0.13,11,145,144,6
太仓,107,12,35,0.7,36,118,166,11
太原,76,13,36,0.49,17,139,129,11
台州,27,10,16,0.53,22,53,52,3
泰州,155,40,70,0.75,17,258,219,8
唐山,65,26,78,1.28,25,150,114,21
天津,60,36,68,0.79,25,129,96,14
天水,41,12,40,0.4,29,65,67,9
铁岭,63,10,21,0.38,13,96,114,5
铜川,111,19,53,0.53,18,177,171,8
通化,34,6,23,0.1,13,58,67,4
通辽,51,23,39,0.47,28,88,100,8
铜陵,76,36,52,0.62,13,163,130,20
铜仁地区,28,7,27,0.55,16,45,40,5
吐鲁番地区,71,13,50,0.5,14,125,123,5
瓦房店,0,0,0,0.0,0,0,0,0
潍坊,91,22,48,0.3,8,128,147,7
威海,80,25,36,0.4,17,123,134,2
渭南,149,23,74,0.63,23,230,212,9
文登,74,10,36,0.5,11,115,127,5
文山州,35,11,23,0.3,7,75,69,5
温州,34,22,33,0.75,30,61,67,6
乌海,81,12,49,0.43,13,145,136,16
武汉,92,44,72,1.16,32,164,149,4
芜湖,152,32,53,0.98,27,221,216,6
吴江,118,28,52,0.73,15,202,178,6
五家渠,54,5,42,0.4,5,110,103,7
乌兰察布,68,6,9,0.25,8,125,120,11
乌鲁木齐,55,9,29,0.54,15,101,104,4
武威,58,13,42,0.5,20,110,108,4
无锡,130,44,71,0.71,18,220,191,5
吴忠,101,14,56,0.57,16,196,160,16
梧州,39,18,38,0.7,13,51,55,6
厦门,28,11,22,0.45,23,35,55,2
西安,134,28,62,0.6,20,217,196,5
湘潭,42,13,22,0.87,15,89,83,7
湘西州,26,18,23,0.73,6,36,45,4
襄阳,117,27,51,0.8,13,179,177,8
咸宁,62,13,37,0.85,5,129,113,5
咸阳,91,27,61,0.68,21,163,148,7
孝感,92,46,53,0.5,7,156,149,5
锡林郭勒盟,60,2,29,0.2,6,119,110,4
兴安盟,65,20,25,0.4,12,111,116,3
邢台,103,15,29,0.38,11,168,162,13
西宁,71,27,43,0.65,22,122,123,21
新乡,100,16,69,0.55,18,175,158,17
信阳,121,22,40,0.53,5,171,181,7
新余,35,11,34,0.74,14,47,52,9
忻州,77,2,21,0.43,13,147,131,11
西双版纳州,37,17,26,0.6,18,45,73,5
宣城,86,41,48,0.57,15,133,141,6
许昌,144,20,109,0.6,26,217,207,7
徐州,148,40,107,0.39,14,207,211,12
雅安,44,18,24,0.38,16,84,87,5
延安,90,8,35,0.53,22,143,146,4
延边州,36,7,17,0.5,13,73,71,5
盐城,125,35,57,0.68,14,202,186,8
阳江,28,7,27,0.5,6,35,39,6
阳泉,97,12,26,0.42,12,168,155,6
扬州,121,40,89,0.64,26,197,182,10
烟台,74,24,48,0.27,13,117,127,3
宜宾,56,21,32,0.6,14,108,106,3
宜昌,51,24,44,0.6,15,117,100,4
宜春,28,13,24,0.63,12,52,55,7
伊春,28,14,20,0.43,9,47,55,4
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,54,8,13,0.57,10,114,103,14
银川,74,14,41,0.56,16,132,127,22
营口,76,8,11,0.38,11,132,130,2
鹰潭,40,5,8,0.36,3,87,78,4
义乌,37,17,18,0.7,13,75,73,4
宜兴,97,34,64,0.7,13,195,155,8
益阳,34,9,16,1.08,13,67,66,4
永州,32,4,12,0.38,8,63,62,6
岳阳,65,24,35,1.03,8,113,116,7
玉林,43,17,25,0.4,4,77,85,7
榆林,55,23,58,0.87,37,103,94,20
运城,129,14,30,0.48,14,168,190,3
云浮,28,15,20,0.5,4,58,55,7
玉树州,70,5,14,0.4,4,128,122,8
玉溪,36,9,17,0.3,7,82,70,6
枣庄,143,19,75,0.52,13,174,206,9
张家港,139,25,68,1.25,28,161,201,15
张家界,40,20,39,1.02,13,55,57,2
张家口,53,6,14,0.13,4,109,102,5
章丘,88,28,78,0.8,11,156,144,16
张掖,76,16,38,0.2,8,126,129,11
漳州,47,20,46,0.58,23,46,71,8
湛江,40,9,25,0.47,10,67,78,7
肇庆,32,13,25,0.45,8,58,63,5
昭通,52,8,33,0.45,7,107,101,6
招远,0,0,0,0.0,0,0,0,0
郑州,121,20,109,0.5,25,200,181,5
镇江,169,41,85,0.73,13,246,233,6
中山,26,11,19,0.38,7,43,50,2
中卫,76,7,44,0.47,8,137,130,5
周口,161,22,103,0.85,15,255,225,9
舟山,43,9,20,0.6,16,79,84,4
珠海,26,6,16,0.45,7,43,50,2
诸暨,66,38,60,0.55,8,143,118,4
驻马店,130,30,47,0.43,12,171,191,3
株洲,38,11,15,1.04,11,86,75,7
淄博,108,16,52,0.43,11,154,167,14
自贡,54,23,44,0.4,16,134,103,6
资阳,48,8,18,0.42,12,122,95,5
遵义,33,7,13,0.57,16,69,64,6
